City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
52,Salalah,OM,17.0151,54.0924,78.89,89,90,6.91,light intensity drizzle,2021-08-07 20:28:09
53,Trairi,BR,-3.2778,-39.2689,81.27,69,56,15.19,broken clouds,2021-08-07 20:24:48
54,Laerdalsoyri,NO,61.098,7.4816,61.93,72,100,4.54,overcast clouds,2021-08-07 20:28:10
55,Hilo,US,19.7297,-155.09,82.26,73,75,10.36,broken clouds,2021-08-07 20:28:10
56,Jalu,LY,29.0331,21.5482,91.38,28,0,14.61,clear sky,2021-08-07 20:26:06
57,Vao,NC,-22.6667,167.4833,67.23,65,100,7.58,overcast clouds,2021-08-07 20:28:10
58,Port Moresby,PG,-9.4431,147.1797,74.62,88,75,11.5,broken clouds,2021-08-07 20:25:42
59,New Norfolk,AU,-42.7826,147.0587,34.92,85,99,2.68,overcast clouds,2021-08-07 20:24:59
60,Lagoa,PT,39.05,-27.9833,68.43,66,10,11.01,clear sky,2021-08-07 20:28:11
61,Xichang,CN,27.8964,102.2634,68.83,91,98,1.63,moderate rain,2021-08-07 20:28:11
62,Satkhira,BD,22.7167,89.1,82.4,90,100,9.28,overcast clouds,2021-08-07 20:28:11
63,Port Alfred,ZA,-33.5906,26.891,59.45,85,67,14.34,broken clouds,2021-08-07 20:28:12
64,Ponta Do Sol,PT,32.6667,-17.1,75.7,82,75,6.29,broken clouds,2021-08-07 20:28:12
65,Saint-Joseph,RE,-21.3667,55.6167,70.16,72,20,10.85,few clouds,2021-08-07 20:28:12
66,Petawawa,CA,45.9001,-77.3328,79.27,74,40,3.0,scattered clouds,2021-08-07 20:28:12
67,Bengkulu,ID,-3.8004,102.2655,75.76,91,11,3.6,few clouds,2021-08-07 20:27:48
68,Ulaanbaatar,MN,47.9077,106.8832,55.53,82,40,2.24,scattered clouds,2021-08-07 20:28:13
69,Puerto Ayora,EC,-0.7393,-90.3518,80.56,83,85,8.99,overcast clouds,2021-08-07 20:25:04
70,Yellowknife,CA,62.456,-114.3525,63.12,72,90,25.32,light rain,2021-08-07 20:28:13
71,Kavaratti,IN,10.5669,72.642,81.46,79,100,20.65,overcast clouds,2021-08-07 20:28:13
72,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,95,20,9.22,few clouds,2021-08-07 20:26:28
73,Carnarvon,AU,-24.8667,113.6333,66.27,90,40,8.05,scattered clouds,2021-08-07 20:25:03
74,Chichica,PA,8.4922,-82.1627,83.39,81,98,3.6,overcast clouds,2021-08-07 20:28:14
75,Provideniya,RU,64.3833,-173.3,44.31,83,100,7.0,light rain,2021-08-07 20:28:14
76,George Town,MY,5.4112,100.3354,82.33,89,20,2.3,thunderstorm,2021-08-07 20:25:50
77,Chuy,UY,-33.6971,-53.4616,67.73,75,9,5.41,clear sky,2021-08-07 20:24:52
78,Hermanus,ZA,-34.4187,19.2345,51.91,74,92,1.12,overcast clouds,2021-08-07 20:28:15
79,Santa Maria,BR,-29.6842,-53.8069,79.9,50,0,5.75,clear sky,2021-08-07 20:28:15
80,Avarua,CK,-21.2078,-159.775,78.85,69,20,4.61,few clouds,2021-08-07 20:25:12
81,Bara,NG,10.3744,10.7288,74.64,90,100,10.58,light rain,2021-08-07 20:28:15
82,Montepuez,MZ,-13.1256,38.9997,66.85,68,29,7.58,scattered clouds,2021-08-07 20:28:16
83,Erzin,TR,36.9559,36.2,81.32,84,1,2.04,clear sky,2021-08-07 20:28:16
84,Khatanga,RU,71.9667,102.5,50.22,68,73,8.37,broken clouds,2021-08-07 20:25:14
85,San Quintin,MX,30.4833,-115.95,73.89,66,4,10.63,clear sky,2021-08-07 20:28:16
86,Raga,SS,8.4596,25.678,72.01,90,100,3.85,light rain,2021-08-07 20:28:17
87,Fomboni,KM,-12.28,43.7425,76.59,66,0,8.28,clear sky,2021-08-07 20:28:17
88,Ribeira Grande,PT,38.5167,-28.7,72.0,60,40,8.05,scattered clouds,2021-08-07 20:28:17
89,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,68,40,17.27,scattered clouds,2021-08-07 20:27:35
90,Isangel,VU,-19.55,169.2667,69.91,73,40,4.61,haze,2021-08-07 20:25:27
91,Anna Paulowna,NL,52.862,4.834,60.04,88,75,11.01,broken clouds,2021-08-07 20:28:18
92,Ballinrobe,IE,53.6333,-9.2333,58.48,93,99,12.46,overcast clouds,2021-08-07 20:28:18
93,Hastings,GB,50.8552,0.5729,63.28,90,82,23.76,broken clouds,2021-08-07 20:28:18
94,Kaliyaganj,IN,25.6333,88.3167,81.82,87,100,3.96,overcast clouds,2021-08-07 20:28:19
95,Aykhal,RU,66.0,111.5,48.92,90,100,7.36,overcast clouds,2021-08-07 20:28:19
96,Wanning,CN,18.8003,110.3967,81.34,89,100,10.0,overcast clouds,2021-08-07 20:28:19
97,Bayan,CN,46.0833,127.4,64.33,92,0,4.94,clear sky,2021-08-07 20:28:19
98,Klaksvik,FO,62.2266,-6.589,63.52,91,91,16.8,overcast clouds,2021-08-07 20:28:20
99,Fairbanks,US,64.8378,-147.7164,58.6,90,90,6.91,light rain,2021-08-07 20:25:59
100,Sept-Iles,CA,50.2001,-66.3821,72.12,78,75,10.36,broken clouds,2021-08-07 20:25:03
101,Buraydah,SA,26.326,43.975,91.85,13,91,5.26,overcast clouds,2021-08-07 20:28:20
102,Saint George,US,37.1041,-113.5841,98.64,11,1,1.99,haze,2021-08-07 20:28:20
103,Tocopilla,CL,-22.092,-70.1979,63.03,68,21,7.27,few clouds,2021-08-07 20:28:21
104,Umm Lajj,SA,25.0213,37.2685,91.26,48,3,6.08,clear sky,2021-08-07 20:28:21
105,Qaqortoq,GL,60.7167,-46.0333,50.5,95,100,7.76,heavy intensity rain,2021-08-07 20:28:21
106,La Libertad,EC,-2.2333,-80.9,72.03,79,67,10.85,broken clouds,2021-08-07 20:28:01
107,Gigmoto,PH,13.7796,124.39,81.37,86,88,8.61,overcast clouds,2021-08-07 20:28:21
108,Williston,US,48.147,-103.618,93.58,41,28,3.0,scattered clouds,2021-08-07 20:27:16
109,Mount Isa,AU,-20.7333,139.5,42.57,52,0,1.14,clear sky,2021-08-07 20:25:38
110,Vredendal,ZA,-31.6683,18.5012,59.04,49,100,5.23,overcast clouds,2021-08-07 20:28:22
111,Cravo Norte,CO,6.3017,-70.2041,86.0,60,70,5.59,broken clouds,2021-08-07 20:28:22
112,Torbay,CA,47.6666,-52.7314,73.89,73,75,25.32,broken clouds,2021-08-07 20:28:23
113,Tottori,JP,35.5,134.2333,77.67,82,5,4.27,clear sky,2021-08-07 20:28:23
114,Saskylakh,RU,71.9167,114.0833,49.14,77,100,7.72,overcast clouds,2021-08-07 20:28:23
115,Mar Del Plata,AR,-38.0023,-57.5575,60.82,55,20,8.05,few clouds,2021-08-07 20:28:23
116,Loa Janan,ID,-0.583,117.095,74.39,99,100,0.69,light rain,2021-08-07 20:28:24
117,Antalaha,MG,-14.9003,50.2788,66.69,92,34,6.71,scattered clouds,2021-08-07 20:28:24
118,Kikwit,CD,-5.041,18.8162,79.7,22,79,1.79,broken clouds,2021-08-07 20:28:24
119,Jamestown,US,42.097,-79.2353,80.29,74,75,3.0,broken clouds,2021-08-07 20:24:49
120,Castro,BR,-24.7911,-50.0119,63.61,69,71,5.03,broken clouds,2021-08-07 20:28:25
121,Moultonborough,US,43.7548,-71.3967,88.47,60,100,1.99,overcast clouds,2021-08-07 20:28:25
122,Pafos,CY,34.7667,32.4167,83.98,70,20,6.91,few clouds,2021-08-07 20:28:25
123,Barrow,US,71.2906,-156.7887,37.42,77,75,6.91,broken clouds,2021-08-07 20:25:03
124,Zhigansk,RU,66.7697,123.3711,64.99,39,99,17.96,overcast clouds,2021-08-07 20:28:25
125,Orzhytsya,UA,49.7918,32.7012,64.71,68,99,11.56,overcast clouds,2021-08-07 20:28:26
126,Bend,US,44.0582,-121.3153,89.26,30,1,4.0,clear sky,2021-08-07 20:27:07
127,Naze,JP,28.3667,129.4833,80.04,89,100,24.63,heavy intensity rain,2021-08-07 20:28:26
128,Changying,CN,52.8733,123.3213,58.89,98,99,5.32,overcast clouds,2021-08-07 20:28:26
129,Hobart,AU,-42.8794,147.3294,35.26,89,75,1.99,broken clouds,2021-08-07 20:28:27
130,Galle,LK,6.0367,80.217,78.87,85,100,14.94,overcast clouds,2021-08-07 20:28:27
131,Mandalgovi,MN,45.7625,106.2708,58.08,65,3,13.96,clear sky,2021-08-07 20:28:27
132,Jalalpur,PK,32.6374,74.2183,87.67,79,20,0.0,smoke,2021-08-07 20:28:27
133,Nicoya,CR,10.1483,-85.452,78.35,78,100,3.11,overcast clouds,2021-08-07 20:28:28
134,Barra Patuca,HN,15.8,-84.2833,84.15,72,99,9.82,overcast clouds,2021-08-07 20:28:28
135,Mahajanga,MG,-15.7167,46.3167,73.42,78,20,5.75,few clouds,2021-08-07 20:28:28
136,Omsukchan,RU,62.5333,155.8,48.36,90,100,4.83,overcast clouds,2021-08-07 20:28:29
137,Cap Malheureux,MU,-19.9842,57.6142,70.47,74,23,1.99,light rain,2021-08-07 20:28:29
138,Cabedelo,BR,-6.9811,-34.8339,74.07,79,41,21.5,scattered clouds,2021-08-07 20:28:29
139,Bluff,NZ,-46.6,168.3333,35.8,76,100,2.51,overcast clouds,2021-08-07 20:28:30
140,Black River,JM,18.0264,-77.8487,87.8,66,28,7.65,moderate rain,2021-08-07 20:28:30
141,Bethel,US,41.3712,-73.414,86.36,62,1,9.22,clear sky,2021-08-07 20:25:08
142,Shirvan,AZ,39.9509,48.8994,83.23,49,1,7.27,clear sky,2021-08-07 20:28:30
143,Paralimni,CY,35.0375,33.9833,85.08,77,0,8.16,clear sky,2021-08-07 20:28:31
