City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Mogadishu,SO,2021-08-07 19:07:12,2.0371,45.3438,76.41,84,47,21.47
68,Suez,EG,2021-08-07 19:07:12,29.9737,32.5263,85.6,60,0,12.44
69,Cap Malheureux,MU,2021-08-07 19:07:12,-19.9842,57.6142,71.47,72,37,5.01
70,Lorengau,PG,2021-08-07 19:04:21,-2.0226,147.2712,79.25,80,41,5.48
71,Fortuna,US,2021-08-07 19:04:44,40.5982,-124.1573,69.93,83,1,1.01
72,Roros,NO,2021-08-07 19:03:09,62.5747,11.3842,57.04,62,90,4.61
73,Yulara,AU,2021-08-07 19:07:13,-25.2406,130.9889,42.64,56,0,4.61
74,Homer,US,2021-08-07 19:07:13,59.6425,-151.5483,66.07,81,1,9.22
75,Qaanaaq,GL,2021-08-07 19:05:02,77.484,-69.3632,41.92,73,99,1.86
76,Pevek,RU,2021-08-07 19:04:34,69.7008,170.3133,40.91,78,18,4.41
77,Narsaq,GL,2021-08-07 19:07:14,60.9167,-46.05,52.02,92,100,8.66
78,Fukue,JP,2021-08-07 19:07:14,32.6881,128.8419,82.54,79,100,8.14
79,Lazaro Cardenas,MX,2021-08-07 19:07:14,17.9583,-102.2,86.76,65,100,6.64
80,Maloy,NO,2021-08-07 19:07:15,61.9353,5.1136,66.81,72,100,8.75
81,Shitanjing,CN,2021-08-07 19:07:15,39.2342,106.3439,73.8,36,100,6.64
82,Severo-Kurilsk,RU,2021-08-07 19:07:15,50.6789,156.125,52.9,82,97,9.35
83,Husavik,IS,2021-08-07 19:07:16,66.0449,-17.3389,58.59,73,69,3.51
84,Norman Wells,CA,2021-08-07 19:07:16,65.282,-126.8329,46.42,65,100,7.78
85,Conakry,GN,2021-08-07 19:02:46,9.538,-13.6773,79.92,69,93,7.02
86,Talaya,RU,2021-08-07 19:07:16,61.3833,152.75,47.93,91,100,3.94
87,Yumen,CN,2021-08-07 19:07:16,40.2833,97.2,70.77,33,11,9.33
88,Praya,CV,2021-08-07 19:07:17,14.9215,-23.5087,81.14,83,75,11.5
89,Sao Joao Da Barra,BR,2021-08-07 19:07:17,-21.6403,-41.0511,73.49,66,100,13.98
90,Avarua,CK,2021-08-07 19:04:09,-21.2078,-159.775,75.25,83,20,2.3
91,Kaeo,NZ,2021-08-07 19:07:18,-35.1,173.7833,48.33,96,94,5.53
