City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
457,Fortuna,US,71.92,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
459,Tura,IN,74.73,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
461,West Lake Stevens,US,70.2,overcast clouds,47.9934,-122.1018,Mansion Inn Lake Stevens
464,Rio Grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
467,High Level,CA,68.11,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
476,Nhulunbuy,AU,68.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
494,Koumac,NC,68.05,overcast clouds,-20.5667,164.2833,Le Monitel
501,Gemena,CD,69.26,overcast clouds,3.25,19.7667,Hôtel Goshen
507,Luanda,AO,73.4,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
516,Waingapu,ID,73.2,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
541,Atambua,ID,65.61,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
543,Caravelas,BR,68.04,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
548,Hualmay,PE,67.64,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
553,Volsk,RU,69.93,overcast clouds,52.0333,47.3833,Oasis Mini Hotel
561,Barranca,PE,65.91,clear sky,-10.75,-77.7667,El Olivar Hospedaje
566,Saint-Pierre,RE,71.24,few clouds,-21.3393,55.4781,Lindsey Hôtel
579,Zharkent,KZ,68.38,clear sky,44.1628,80.0,гостиница Satti
585,Puerto Del Rosario,ES,74.95,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
589,Sarangpur,IN,73.71,broken clouds,23.5667,76.4667,Mk manjil
590,Sambava,MG,70.03,light rain,-14.2667,50.1667,Melrose
593,Port Hardy,CA,66.38,light rain,50.6996,-127.4199,Airport Inn
597,Rocha,UY,66.22,clear sky,-34.4833,-54.3333,Beleza Pura B&B
600,Inhambane,MZ,66.76,clear sky,-23.865,35.3833,Oceano
604,Jijiga,ET,65.34,overcast clouds,9.35,42.8,RAMAAS HOTEL
614,Roald,NO,68.05,clear sky,62.5833,6.1333,Flem Cabins
617,Omboue,GA,74.32,overcast clouds,-1.5746,9.2618,Hotel Olako
625,Maua,BR,69.6,overcast clouds,-23.6678,-46.4614,Hotel Capriccio Mauá
633,Poum,NC,69.66,overcast clouds,-20.2333,164.0167,Gîte kajeon
634,Pitimbu,BR,73.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
636,Sao Joao Da Barra,BR,71.69,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
640,Velykyy Burluk,UA,71.55,light rain,50.0379,37.3987,Маляр Владислав
641,Urumqi,CN,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
646,Mlimba,TZ,67.82,clear sky,-8.8,35.8167,California Lodge
649,Sioux Lookout,CA,71.98,smoke,50.1001,-91.917,Knobby's Fly-In Camps
658,Galesong,ID,73.42,overcast clouds,-5.3166,119.3661,Sapriadi Appy
672,Kandi,BJ,74.23,overcast clouds,11.1342,2.9386,Baric Motel De Kandi
675,Losone,CH,74.93,broken clouds,46.1687,8.7593,Hotel Eden Roc
677,Wamba,NG,70.27,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
678,Sangmelima,CM,67.69,overcast clouds,2.9333,11.9833,gamestar hotel
683,Thunder Bay,CA,68.99,broken clouds,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
688,Grand Gaube,MU,70.38,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
692,Kemin,KG,67.14,few clouds,42.7846,75.6892,Hotel Kok-Oirok
693,Vrangel,RU,69.58,scattered clouds,42.7297,133.0839,"Отель ""БАЛИ"""
713,Ipameri,BR,70.12,overcast clouds,-17.7219,-48.1597,Real Hotel
715,Kamina,CD,66.31,broken clouds,-8.7386,24.9906,Guest House Florvia
